# Updated on: July 06, 2021
gene,chr,start,end,arm,type,strand
MPL,1,43336875,43354466,short,gene,plus
CDC20,1,43358981,43363203,short,gene,plus
ELOVL1,1,43368011,43363401,short,gene,minus
MED8,1,43389800,43383917,short,gene,minus
SZT2,1,43389884,43454247,short,gene,plus
HYI,1,43454241,43450607,short,gene,minus
PTPRF,1,43522238,43623666,short,gene,plus
KDM4A,1,43650149,43705518,short,gene,plus
ST3GAL3,1,43707465,43931164,short,gene,plus
ARTN,1,43933801,43937240,short,gene,plus
IPO13,1,43946852,43968022,short,gene,plus
DPH2,1,43969997,43973369,short,gene,plus
ATP6V0B,1,43974960,43978295,short,gene,plus
B4GALT2,1,43979210,43991171,short,gene,plus
CCDC24,1,43991599,43996528,short,gene,plus
SLC6A9,1,44031462,43996483,short,gene,minus
KLF17,1,44043927,44135140,short,gene,plus
KLF18,1,44141631,44137821,short,gene,minus
DMAP1,1,44213471,44220673,short,gene,plus
ERI3,1,44355298,44221070,short,gene,minus
RNF220,1,44405160,44651724,short,gene,plus
TMEM53,1,44674481,44653247,short,gene,minus
ARMH1,1,44674696,44725591,short,gene,plus
KIF2C,1,44739704,44767767,short,gene,plus
RPS8,1,44775540,44778779,short,gene,plus
BEST4,1,44792828,44782145,short,gene,minus
PLK3,1,44799952,44805995,short,gene,plus
DYNLT4,1,44807351,44805893,short,gene,minus
BTBD19,1,44807442,44815585,short,gene,plus
PTCH2,1,44843253,44819845,short,gene,minus
EIF2B3,1,44986641,44850522,short,gene,minus
HECTD3,1,45011324,45002547,short,gene,minus
UROD,1,45012254,45015575,short,gene,plus
ZSWIM5,1,45206605,45016399,short,gene,minus
HPDL,1,45326895,45328710,short,gene,plus
TOE1,1,45339751,45343973,short,gene,plus
MUTYH,1,45340447,45329242,short,gene,minus
TESK2,1,45491163,45343883,short,gene,minus
CCDC163,1,45500111,45493863,short,gene,minus
MMACHC,1,45500229,45513382,short,gene,plus
PRDX1,1,45522890,45511051,short,gene,minus
AKR1A1,1,45550779,45570051,short,gene,plus
NASP,1,45584041,45618893,short,gene,plus
CCDC17,1,45624787,45620044,short,gene,minus
GPBP1L1,1,45688110,45627304,short,gene,minus
TMEM69,1,45688181,45694438,short,gene,plus
IPP,1,45750805,45694324,short,gene,minus
MAST2,1,45786992,46036124,short,gene,plus
PIK3R3,1,46174901,46040140,short,gene,minus
TSPAN1,1,46175087,46196489,short,gene,plus
P3R3URF,1,46176488,46175486,short,gene,minus
P3R3URF-PIK3R3,1,46176488,46040140,short,gene,minus
LURAP1,1,46203334,46221256,short,gene,plus
POMGNT1,1,46220305,46188683,short,gene,minus
RAD54L,1,46247688,46278477,short,gene,plus
LRRC41,1,46303616,46277462,short,gene,minus
UQCRH,1,46303698,46316776,short,gene,plus
NSUN4,1,46340807,46385199,short,gene,plus
FAAH,1,46394317,46413845,short,gene,plus
DMBX1,1,46489836,46516216,short,gene,plus
TMEM275,1,46535515,46532166,short,gene,minus
KNCN,1,46551647,46545641,short,gene,minus
MKNK1,1,46604311,46557407,short,gene,minus
MOB3C,1,46616811,46607719,short,gene,minus
ATPAF1,1,46668557,46632737,short,gene,minus
TEX38,1,46668886,46673601,short,gene,plus
EFCAB14,1,46719114,46675159,short,gene,minus
CYP4B1,1,46799046,46819413,short,gene,plus
CYP4A11,1,46941476,46929177,short,gene,minus
CYP4X1,1,46961364,47055432,short,gene,plus
CYP4Z1,1,47055525,47118320,short,gene,plus
CYP4A22,1,47137441,47149738,short,gene,plus
PDZK1IP1,1,47190036,47183582,short,gene,minus
TAL1,1,47232389,47216290,short,gene,minus
STIL,1,47314896,47250139,short,gene,minus
CMPK1,1,47333790,47378839,short,gene,plus
FOXE3,1,47416285,47418052,short,gene,plus
FOXD2,1,47438044,47440691,short,gene,plus
TRABD2B,1,47997385,47760528,short,gene,minus
SLC5A9,1,48221113,48248644,short,gene,plus
SPATA6,1,48472204,48258643,short,gene,minus
BEND5,1,48777489,48727519,short,gene,minus
AGBL4,1,50023954,48520157,short,gene,minus
ELAVL4,1,50048055,50203772,short,gene,plus
DMRTA2,1,50423443,50417550,short,gene,minus
FAF1,1,50960267,50437028,short,gene,minus
CDKN2C,1,50968706,50974634,short,gene,plus
C1orf185,1,51102188,51152283,short,gene,plus
RNF11,1,51236273,51273447,short,gene,plus
TTC39A,1,51345116,51287258,short,gene,minus
EPS15,1,51519275,51354263,short,gene,minus
OSBPL9,1,51617084,51789219,short,gene,plus
NRDC,1,51878727,51789210,short,gene,minus
RAB3B,1,51990700,51907956,short,gene,minus
KTI12,1,52033810,52032103,short,gene,minus
TXNDC12,1,52056171,52020131,short,gene,minus
BTF3L4,1,52056295,52090716,short,gene,plus
ZFYVE9,1,52142001,52348664,short,gene,plus
CC2D1B,1,52366291,52348437,short,gene,minus
ORC1,1,52404446,52372829,short,gene,minus
PRPF38A,1,52404564,52420836,short,gene,plus
TUT4,1,52553463,52423275,short,gene,minus
GPX7,1,52602371,52609051,short,gene,plus
SHISAL2A,1,52631438,52669683,short,gene,plus
COA7,1,52698347,52684449,short,gene,minus
ZYG11B,1,52726453,52827336,short,gene,plus
ZYG11A,1,52842736,52894998,short,gene,plus
ECHDC2,1,52927212,52895910,short,gene,minus
SCP2,1,52927276,53051698,short,gene,plus
PODN,1,53062198,53085502,short,gene,plus
SLC1A7,1,53142638,53087183,short,gene,minus
CPT2,1,53196824,53214197,short,gene,plus
CZIB,1,53220634,53214099,short,gene,minus
MAGOH,1,53238518,53226900,short,gene,minus
LRP8,1,53328070,53242364,short,gene,minus
DMRTB1,1,53459399,53467488,short,gene,plus
GLIS1,1,53739171,53506237,short,gene,minus
NDC1,1,53838296,53765478,short,gene,minus
YIPF1,1,53889797,53851733,short,gene,minus
DIO1,1,53894187,53911086,short,gene,plus
HSPB11,1,53946305,53916573,short,gene,minus
LRRC42,1,53946350,53968168,short,gene,plus
LDLRAD1,1,54018186,54007298,short,gene,minus
TMEM59,1,54053573,54026681,short,gene,minus
TCEANC2,1,54053608,54112520,short,gene,plus
CDCP2,1,54153181,54132687,short,gene,minus
CYB5RL,1,54200030,54169651,short,gene,minus
MRPL37,1,54200167,54225489,short,gene,plus
SSBP3,1,54413490,54225432,short,gene,minus
ACOT11,1,54548228,54639192,short,gene,plus
FAM151A,1,54623527,54609180,short,gene,minus
MROH7,1,54641786,54710266,short,gene,plus
TTC4,1,54715861,54742657,short,gene,plus
PARS2,1,54764523,54756898,short,gene,minus
TTC22,1,54802379,54779696,short,gene,minus
LEXM,1,54806063,54842252,short,gene,plus
DHCR24,1,54887195,54849627,short,gene,minus
TMEM61,1,54980614,54992293,short,gene,plus
BSND,1,54998933,55017172,short,gene,plus
PCSK9,1,55039548,55064852,short,gene,plus
USP24,1,55215374,55066359,short,gene,minus
PLPP3,1,56579563,56494761,short,gene,minus
PRKAA2,1,56645314,56715335,short,gene,plus
FYB2,1,56831986,56718789,short,gene,minus
C8A,1,56854796,56918223,short,gene,plus
C8B,1,56974383,56929207,short,gene,minus
DAB1,1,58546726,56994778,short,gene,minus
OMA1,1,58546726,58480719,short,gene,minus
TACSTD2,1,58577252,58575433,short,gene,minus
MYSM1,1,58700091,58654739,short,gene,minus
JUN,1,58784047,58780791,short,gene,minus
FGGY,1,59296405,59762730,short,gene,plus
HOOK1,1,59814922,59876370,short,gene,plus
CYP2J2,1,59926773,59893308,short,gene,minus
C1orf87,1,60073770,59990394,short,gene,minus
NFIA,1,61077227,61462788,short,gene,plus
TM2D1,1,61725141,61681046,short,gene,minus
PATJ,1,61742477,62163915,short,gene,plus
L1TD1,1,62194849,62212328,short,gene,plus
KANK4,1,62319434,62236165,short,gene,minus
USP1,1,62436395,62451804,short,gene,plus
ANGPTL3,1,62597520,62606313,short,gene,plus
DOCK7,1,62688386,62454726,short,gene,minus
ATG4C,1,62783765,62865516,short,gene,plus
FOXD3,1,63322567,63325128,short,gene,plus
ALG6,1,63367627,63438553,short,gene,plus
EFCAB7,1,63523321,63585401,short,gene,plus
ITGB3BP,1,63529395,63440770,short,gene,minus
PGM1,1,63593411,63660245,short,gene,plus
ROR1,1,63774017,64181498,short,gene,plus
UBE2U,1,64202802,64267381,short,gene,plus
CACHD1,1,64470129,64693058,short,gene,plus
RAVER2,1,64744979,64833411,short,gene,plus
JAK1,1,65067746,64833229,short,gene,minus
AK4,1,65147342,65232145,short,gene,plus
DNAJC6,1,65264749,65415871,short,gene,plus
LEPR,1,65420652,65641559,short,gene,plus
LEPROT,1,65420668,65436007,short,gene,plus
PDE4B,1,65792510,66374579,short,gene,plus
SGIP1,1,66533361,66751139,short,gene,plus
DYNLT5,1,66752147,66779051,short,gene,plus
INSL5,1,66801276,66797740,short,gene,minus
DNAI4,1,66924856,66812885,short,gene,minus
MIER1,1,66924900,66988619,short,gene,plus
SLC35D1,1,67054423,66999350,short,gene,minus
IL23R,1,67138639,67259979,short,gene,plus
C1orf141,1,67141646,67092165,short,gene,minus
IL12RB2,1,67307351,67398724,short,gene,plus
SERBP1,1,67430402,67407810,short,gene,minus
GADD45A,1,67685201,67688334,short,gene,plus
GNG12,1,67833467,67701475,short,gene,minus
DIRAS3,1,68050627,68045962,short,gene,minus
WLS,1,68233018,68098459,short,gene,minus
RPE65,1,68450322,68428822,short,gene,minus
DEPDC1,1,68497082,68474152,short,gene,minus
LRRC7,1,69567922,70144364,short,gene,plus
LRRC40,1,70205676,70144805,short,gene,minus
SRSF11,1,70205696,70253052,short,gene,plus
ANKRD13C,1,70354977,70258999,short,gene,minus
CTH,1,70411268,70441949,short,gene,plus
PTGER3,1,71047816,70852358,short,gene,minus
ZRANB2,1,71081035,71063291,short,gene,minus
NEGR1,1,72282539,71395943,short,gene,minus
LRRIQ3,1,74198201,74026015,short,gene,minus
FPGT,1,74198242,74208702,short,gene,plus
FPGT-TNNI3K,1,74198242,74544428,short,gene,plus
TNNI3K,1,74235387,74544428,short,gene,plus
LRRC53,1,74540227,74468980,short,gene,minus
ERICH3,1,74674343,74568113,short,gene,minus
CRYZ,1,74733115,74705470,short,gene,minus
TYW3,1,74733152,74766677,short,gene,plus
LHX8,1,75128434,75199454,short,gene,plus
SLC44A5,1,75724261,75202129,short,gene,minus
ACADM,1,75724709,75763679,short,gene,plus
RABGGTB,1,75786194,75795090,short,gene,plus
MSH4,1,75796882,75913242,short,gene,plus
ASB17,1,75937625,75918873,short,gene,minus
ST6GALNAC3,1,76074734,76637339,short,gene,plus
ST6GALNAC5,1,76867449,77069167,short,gene,plus
PIGK,1,77219430,77088989,short,gene,minus
AK5,1,77281908,77559966,short,gene,plus
ZZZ3,1,77683440,77561526,short,gene,minus
USP33,1,77759852,77695987,short,gene,minus
MIGA1,1,77779649,77879540,short,gene,plus
NEXN,1,77888528,77948643,short,gene,plus
DNAJB4,1,77979175,78017964,short,gene,plus
FUBP1,1,77979435,77944055,short,gene,minus
GIPC2,1,78044970,78138444,short,gene,plus
PTGFR,1,78490974,78540701,short,gene,plus
IFI44L,1,78620412,78646145,short,gene,plus
IFI44,1,78648943,78664078,short,gene,plus
ADGRL4,1,79006730,78889764,short,gene,minus
ADGRL2,1,81306104,81993932,short,gene,plus
TTLL7,1,83999141,83865021,short,gene,minus
PRKACB,1,84078079,84238498,short,gene,plus
SAMD13,1,84298538,84350798,short,gene,plus
DNASE2B,1,84398484,84415895,short,gene,plus
RPF1,1,84479266,84498352,short,gene,plus
SPATA1,1,84506301,84556495,short,gene,plus
GNG5,1,84506581,84498325,short,gene,minus
CTBS,1,84574440,84549611,short,gene,minus
SSX2IP,1,84690757,84643706,short,gene,minus
LPAR3,1,84893206,84811601,short,gene,minus
MCOLN2,1,84997113,84925583,short,gene,minus
MCOLN3,1,85048902,85018082,short,gene,minus
DNAI3,1,85062327,85133138,short,gene,plus
SYDE2,1,85201725,85156381,short,gene,minus
C1orf52,1,85259677,85249953,short,gene,minus
BCL10,1,85276632,85265776,short,gene,minus
DDAH1,1,85578274,85318485,short,gene,minus
CCN1,1,85580761,85583950,short,gene,plus
ZNHIT6,1,85708458,85649417,short,gene,minus
COL24A1,1,86156987,85728507,short,gene,minus
ODF2L,1,86396323,86346837,short,gene,minus
CLCA2,1,86424144,86456553,short,gene,plus
CLCA1,1,86468927,86500259,short,gene,plus
CLCA4,1,86547078,86580758,short,gene,plus
SH3GLB1,1,86704570,86748184,short,gene,plus
SELENOF,1,86914577,86862445,short,gene,minus
HS2ST1,1,86914635,87109982,short,gene,plus
LMO4,1,87328880,87348923,short,gene,plus
PKN2,1,88684239,88836255,short,gene,plus
GTF2B,1,88891944,88852633,short,gene,minus
RBMXL1,1,88992629,88979456,short,gene,minus
KYAT3,1,88992960,88921044,short,gene,minus
GBP3,1,89022870,89006677,short,gene,minus
GBP1,1,89065208,89052319,short,gene,minus
GBP2,1,89126114,89106132,short,gene,minus
GBP7,1,89176003,89131742,short,gene,minus
GBP4,1,89198942,89181144,short,gene,minus
GBP5,1,89272860,89256189,short,gene,minus
GBP6,1,89364059,89388160,short,gene,plus
LRRC8B,1,89522626,89597861,short,gene,plus
LRRC8C,1,89615810,89719533,short,gene,plus
LRRC8D,1,89821014,89936611,short,gene,plus
ZNF326,1,89995100,90035533,short,gene,plus
BARHL2,1,90717302,90711539,short,gene,minus
ZNF644,1,91022267,90915304,short,gene,minus
HFM1,1,91408008,91260766,short,gene,minus
CDC7,1,91498968,91525764,short,gene,plus
TGFBR3,1,91906002,91680343,short,gene,minus
BRDT,1,91949371,92014428,short,gene,plus
EPHX4,1,92029985,92063538,short,gene,plus
SETSIP,1,92075472,92074436,short,gene,minus
BTBD8,1,92080345,92188509,short,gene,plus
C1orf146,1,92217915,92245813,short,gene,plus
RPAP2,1,92299050,92402056,short,gene,plus
GLMN,1,92441936,92245786,short,gene,minus
GFI1,1,92486925,92473043,short,gene,minus
EVI5,1,92792413,92508696,short,gene,minus
RPL5,1,92831986,92841924,short,gene,plus
DIPK1A,1,92961462,92832729,short,gene,minus
MTF2,1,93079283,93139076,short,gene,plus
CCDC18,1,93179802,93279037,short,gene,plus
TMED5,1,93180413,93149742,short,gene,minus
DR1,1,93345907,93369493,short,gene,plus
FNBP1L,1,93448067,93569671,short,gene,plus
BCAR3,1,93847219,93561741,short,gene,minus
DNTTIP2,1,93879206,93866284,short,gene,minus
GCLM,1,93910370,93885199,short,gene,minus
ABCA4,1,94121148,93992834,short,gene,minus
ARHGAP29,1,94275068,94168905,short,gene,minus
ABCD3,1,94418086,94518663,short,gene,plus
F3,1,94541759,94529173,short,gene,minus
SLC44A3,1,94820351,94895247,short,gene,plus
CNN3,1,94927110,94896957,short,gene,minus
ALG14,1,95072974,94974405,short,gene,minus
TLCD4,1,95092517,95197607,short,gene,plus
TLCD4-RWDD3,1,95117923,95244955,short,gene,plus
RWDD3,1,95234155,95247225,short,gene,plus
PTBP2,1,96721766,96823739,short,gene,plus
DPYD,1,97921059,97077743,short,gene,minus
SNX7,1,98661284,98760500,short,gene,plus
PLPPR5,1,99006130,98890245,short,gene,minus
PLPPR4,1,99262956,99309584,short,gene,plus
PALMD,1,99646113,99694535,short,gene,plus
FRRS1,1,99766635,99703970,short,gene,minus
AGL,1,99850077,99924023,short,gene,plus
SLC35A3,1,99968401,100035634,short,gene,plus
MFSD14A,1,100038078,100083377,short,gene,plus
SASS6,1,100132930,100082632,short,gene,minus
TRMT13,1,100133132,100150496,short,gene,plus
LRRC39,1,100178256,100148448,short,gene,minus
DBT,1,100249864,100186919,short,gene,minus
RTCA,1,100266187,100292769,short,gene,plus
CDC14A,1,100345001,100520277,short,gene,plus
GPR88,1,100538139,100542021,short,gene,plus
VCAM1,1,100719742,100739045,short,gene,plus
EXTL2,1,100895411,100872372,short,gene,minus
SLC30A7,1,100896090,100996913,short,gene,plus
DPH5,1,101025806,100975218,short,gene,minus
S1PR1,1,101236899,101241518,short,gene,plus
OLFM3,1,101996926,101800028,short,gene,minus
COL11A1,1,103108580,102876473,short,gene,minus
RNPC3,1,103525699,103555239,short,gene,plus
AMY2B,1,103554644,103579534,short,gene,plus
AMY2A,1,103617427,103625780,short,gene,plus
AMY1A,1,103655519,103664554,short,gene,plus
AMY1B,1,103696453,103687415,short,gene,minus
AMY1C,1,103745430,103758692,short,gene,plus
PRMT6,1,107056674,107059294,short,gene,plus
NTNG1,1,107140017,107484923,short,gene,plus
VAV3,1,107965180,107571161,short,gene,minus
SLC25A24,1,108200343,108134043,short,gene,minus
NBPF4,1,108244076,108222464,short,gene,minus
NBPF6,1,108421496,108471920,short,gene,plus
FAM102B,1,108560100,108639322,short,gene,plus
HENMT1,1,108661474,108648295,short,gene,minus
PRPF38B,1,108692310,108702928,short,gene,plus
FNDC7,1,108712908,108742749,short,gene,plus
STXBP3,1,108746674,108809523,short,gene,plus
AKNAD1,1,108858244,108815901,short,gene,minus
GPSM2,1,108875350,108934545,short,gene,plus
CLCC1,1,108963484,108929505,short,gene,minus
WDR47,1,109042113,108970211,short,gene,minus
TAF13,1,109076003,109064140,short,gene,minus
TMEM167B,1,109090764,109096934,short,gene,plus
C1orf194,1,109113831,109105951,short,gene,minus
ELAPOR1,1,109114106,109206781,short,gene,plus
SARS1,1,109213893,109238182,short,gene,plus
CELSR2,1,109249539,109275751,short,gene,plus
PSRC1,1,109283172,109279556,short,gene,minus
MYBPHL,1,109309394,109292365,short,gene,minus
SORT1,1,109397940,109309575,short,gene,minus
PSMA5,1,109426448,109399042,short,gene,minus
SYPL2,1,109466478,109482142,short,gene,plus
ATXN7L2,1,109483905,109492804,short,gene,plus
CYB561D1,1,109493606,109500441,short,gene,plus
AMIGO1,1,109509742,109504178,short,gene,minus
GPR61,1,109539872,109547260,short,gene,plus
GNAI3,1,109548615,109600195,short,gene,plus
GNAT2,1,109619616,109603091,short,gene,minus
AMPD2,1,109619837,109632055,short,gene,plus
GSTM4,1,109656076,109665497,short,gene,plus
GSTM2,1,109668057,109683997,short,gene,plus
GSTM1,1,109687817,109693745,short,gene,plus
GSTM5,1,109711751,109718268,short,gene,plus
GSTM3,1,109741038,109733937,short,gene,minus
EPS8L3,1,109763976,109750080,short,gene,minus
CSF1,1,109910506,109930992,short,gene,plus
AHCYL1,1,109984765,110023742,short,gene,plus
STRIP1,1,110031577,110054641,short,gene,plus
ALX3,1,110070672,110059870,short,gene,minus
UBL4B,1,110112443,110113947,short,gene,plus
SLC6A17,1,110150494,110202202,short,gene,plus
KCNC4,1,110210314,110282649,short,gene,plus
RBM15,1,110339377,110346677,short,gene,plus
SLC16A4,1,110391971,110362856,short,gene,minus
LAMTOR5,1,110407924,110401253,short,gene,minus
PROK1,1,110451149,110457358,short,gene,plus
KCNA10,1,110519175,110517217,short,gene,minus
KCNA2,1,110631536,110593580,short,gene,minus
KCNA3,1,110674940,110653560,short,gene,minus
CD53,1,110871167,110899928,short,gene,plus
LRIF1,1,110963962,110877252,short,gene,minus
CEPT1,1,111139436,111185104,short,gene,plus
DRAM2,1,111140216,111117163,short,gene,minus
DENND2D,1,111204791,111185969,short,gene,minus
CHI3L2,1,111227080,111243440,short,gene,plus
CHIA,1,111290851,111320566,short,gene,plus
PIFO,1,111324663,111353017,short,gene,plus
OVGP1,1,111427735,111414319,short,gene,minus
WDR77,1,111449256,111439890,short,gene,minus
ATP5PB,1,111449464,111462773,short,gene,plus
C1orf162,1,111462027,111478512,short,gene,plus
ADORA3,1,111503633,111499429,short,gene,minus
RAP1A,1,111542009,111716691,short,gene,plus
TMIGD3,1,111563962,111483348,short,gene,minus
INKA2,1,111755797,111722064,short,gene,minus
DDX20,1,111755901,111768000,short,gene,plus
KCND3,1,111989668,111770662,short,gene,minus
CTTNBP2NL,1,112391085,112461164,short,gene,plus
WNT2B,1,112466541,112530165,short,gene,plus
CAPZA1,1,112619775,112671616,short,gene,plus
ST7L,1,112619881,112517444,short,gene,minus
MOV10,1,112674427,112702377,short,gene,plus
RHOC,1,112707408,112701131,short,gene,minus
PPM1J,1,112715332,112709998,short,gene,minus
TAFA3,1,112718905,112727235,short,gene,plus
SLC16A1,1,112956196,112911847,short,gene,minus
LRIG2,1,113073170,113132260,short,gene,plus
MAGI3,1,113390474,113685923,short,gene,plus
PHTF1,1,113759888,113696831,short,gene,minus
RSBN1,1,113812537,113761832,short,gene,minus
PTPN22,1,113871761,113813811,short,gene,minus
BCL2L15,1,113887581,113876816,short,gene,minus
DCLRE1B,1,113904619,113914086,short,gene,plus
AP4B1,1,113905067,113894194,short,gene,minus
HIPK1,1,113929324,113977869,short,gene,plus
OLFML3,1,113979474,113982254,short,gene,plus
SYT6,1,114153869,114089292,short,gene,minus
TRIM33,1,114511203,114392787,short,gene,minus
BCAS2,1,114581615,114567557,short,gene,minus
DENND2C,1,114670049,114582850,short,gene,minus
AMPD1,1,114695546,114673098,short,gene,minus
NRAS,1,114716771,114704469,short,gene,minus
CSDE1,1,114757984,114716916,short,gene,minus
SIKE1,1,114780685,114769479,short,gene,minus
SYCP1,1,114854268,114995370,short,gene,plus
TSHB,1,115029826,115035935,short,gene,plus
TSPAN2,1,115089503,115048011,short,gene,minus
NGF,1,115338253,115285915,short,gene,minus
VANGL1,1,115641970,115698221,short,gene,plus
CASQ2,1,115768714,115700021,short,gene,minus
NHLH2,1,115841126,115830777,short,gene,minus
SLC22A15,1,115976513,116070054,short,gene,plus
MAB21L3,1,116111399,116138149,short,gene,plus
ATP1A1,1,116372986,116410259,short,gene,plus
CD58,1,116571037,116500390,short,gene,minus
IGSF3,1,116667755,116574398,short,gene,minus
CD2,1,116754430,116769229,short,gene,plus
PTGFRN,1,116909916,116990358,short,gene,plus
CD101,1,116987997,117037481,short,gene,plus
TTF2,1,117060303,117107453,short,gene,plus
TRIM45,1,117121789,117107711,short,gene,minus
VTCN1,1,117210985,117143587,short,gene,minus
MAN1A2,1,117367393,117528872,short,gene,plus
TENT5C,1,117606048,117628389,short,gene,plus
GDAP2,1,117929621,117863485,short,gene,minus
WDR3,1,117929739,117966543,short,gene,plus
SPAG17,1,118185228,117953590,short,gene,minus
TBX15,1,118989510,118883046,short,gene,minus
WARS2,1,119140788,119031216,short,gene,minus
HAO2,1,119361913,119394130,short,gene,plus
HSD3B2,1,119414931,119423034,short,gene,plus
HSD3B1,1,119507203,119515058,short,gene,plus
ZNF697,1,119648266,119619377,short,gene,minus
PHGDH,1,119711934,119744218,short,gene,plus
HMGCS2,1,119768932,119747996,short,gene,minus
REG4,1,119811460,119794017,short,gene,minus
ADAM30,1,119896515,119893533,short,gene,minus
NOTCH2,1,120069662,119911553,short,gene,minus
SEC22B,1,120176520,120150898,short,gene,minus
NBPF8,1,120415027,120469676,short,gene,plus
NBPF26,1,120805556,120842215,short,gene,plus
PPIAL4A,1,120889771,120890530,short,gene,plus
FAM72B,1,121184340,121167646,short,gene,minus
SRGAP2C,1,121184975,121392874,short,gene,plus
H3-2,1,143905977,143902386,long,gene,minus
FAM72C,1,143973564,143955287,long,gene,minus
PPIAL4E,1,144373634,144372875,long,gene,minus
NBPF15,1,144461669,144421390,long,gene,minus
PPIAL4F,1,144592893,144593652,long,gene,plus
FAM72D,1,145093805,145112696,long,gene,plus
SRGAP2B,1,145095380,144887191,long,gene,minus
LOC101929805,1,145133552,145149891,long,gene,plus
PPIAL4D,1,145242174,145241415,long,gene,minus
NBPF20,1,145405778,145289900,long,gene,minus
GPR89A,1,145607987,145670977,long,gene,plus
PDZK1,1,145708201,145670852,long,gene,minus
CD160,1,145719312,145739288,long,gene,plus
POLR3C,1,145823183,145844402,long,gene,plus
RNF115,1,145824095,145738868,long,gene,minus
NUDT17,1,145844985,145848954,long,gene,plus
PIAS3,1,145859081,145848522,long,gene,minus
ANKRD35,1,145885866,145866564,long,gene,minus
ITGA10,1,145910050,145891208,long,gene,minus
PEX11B,1,145918717,145911348,long,gene,minus
RBM8A,1,145927484,145921556,long,gene,minus
LIX1L,1,145958038,145933423,long,gene,minus
POLR3GL,1,145959037,145978848,long,gene,plus
ANKRD34A,1,145964575,145959441,long,gene,minus
TXNIP,1,145996579,145992435,long,gene,minus
HJV,1,146021735,146017470,long,gene,minus
NBPF10,1,146144804,146064699,long,gene,minus
NOTCH2NLA,1,146229032,146151908,long,gene,minus
PPIAL4H,1,146344765,146344006,long,gene,minus
NBPF12,1,146938324,146996093,long,gene,plus
CHD1L,1,147172747,147295762,long,gene,plus
PRKAB2,1,147173366,147155106,long,gene,minus
FMO5,1,147225798,147183963,long,gene,minus
BCL9,1,147541501,147626217,long,gene,plus
ACP6,1,147670524,147626182,long,gene,minus
GJA5,1,147781127,147756199,long,gene,minus
GJA8,1,147902795,147915287,long,gene,plus
GPR89B,1,147928420,147993592,long,gene,plus
NBPF11,1,148152281,148102151,long,gene,minus
PPIAL4G,1,148483302,148482548,long,gene,minus
NBPF14,1,148595717,148531385,long,gene,minus
NOTCH2NLB,1,148712499,148595855,long,gene,minus
NUDT4B,1,148748774,148752415,long,gene,plus
PDE4DIP,1,148808198,149051277,long,gene,plus
NBPF9,1,149103551,149052186,long,gene,minus
NOTCH2NLC,1,149390621,149471833,long,gene,plus
NBPF19,1,149475045,149556361,long,gene,plus
PPIAL4C,1,149583848,149584607,long,gene,plus
FCGR1A,1,149782694,149800609,long,gene,plus
H2BC18,1,149812370,149782689,long,gene,minus
H3C13,1,149813693,149813225,long,gene,minus
H4C14,1,149832657,149833052,long,gene,plus
H3C14,1,149841208,149840687,long,gene,minus
H2AC18,1,149842750,149842218,long,gene,minus
H2AC19,1,149851061,149851594,long,gene,plus
H3C15,1,149852608,149853125,long,gene,plus
H4C15,1,149861159,149853262,long,gene,minus
H2BC21,1,149886682,149884459,long,gene,minus
H2AC20,1,149886918,149887411,long,gene,plus
H2AC21,1,149887965,149887469,long,gene,minus
BOLA1,1,149899568,149900795,long,gene,plus
SV2A,1,149917844,149903318,long,gene,minus
SF3B4,1,149927803,149923317,long,gene,minus
MTMR11,1,149938329,149928651,long,gene,minus
OTUD7B,1,150010776,149937812,long,gene,minus
VPS45,1,150067279,150145329,long,gene,plus
PLEKHO1,1,150149565,150160065,long,gene,plus
ANP32E,1,150236133,150218417,long,gene,minus
CA14,1,150257258,150265862,long,gene,plus
C1orf54,1,150270317,150280927,long,gene,plus
APH1A,1,150282179,150265404,long,gene,minus
CIART,1,150282554,150287093,long,gene,plus
MRPS21,1,150293842,150308979,long,gene,plus
PRPF3,1,150321468,150353233,long,gene,plus
RPRD2,1,150364147,150476566,long,gene,plus
TARS2,1,150487411,150507609,long,gene,plus
ECM1,1,150508109,150513789,long,gene,plus
ADAMTSL4,1,150549378,150560937,long,gene,plus
MCL1,1,150579610,150574558,long,gene,minus
ENSA,1,150629612,150621246,long,gene,minus
GOLPH3L,1,150697154,150646230,long,gene,minus
HORMAD1,1,150720910,150698060,long,gene,minus
CTSS,1,150765778,150730188,long,gene,minus
CTSK,1,150808260,150796208,long,gene,minus
ARNT,1,150876737,150809713,long,gene,minus
CTXND2,1,150887253,150913292,long,gene,plus
SETDB1,1,150926263,150964737,long,gene,plus
CERS2,1,150974835,150965184,long,gene,minus
ANXA9,1,150982286,150996063,long,gene,plus
MINDY1,1,151008393,150996536,long,gene,minus
PRUNE1,1,151008405,151035713,long,gene,plus
BNIPL,1,151036321,151047720,long,gene,plus
C1orf56,1,151047751,151051420,long,gene,plus
CDC42SE1,1,151059626,151050980,long,gene,minus
MLLT11,1,151060397,151069544,long,gene,plus
GABPB2,1,151070180,151125542,long,gene,plus
SEMA6C,1,151148408,151131707,long,gene,minus
TNFAIP8L2,1,151156649,151159749,long,gene,plus
TNFAIP8L2-SCNM1,1,151156649,151170296,long,gene,plus
LYSMD1,1,151165902,151148496,long,gene,minus
SCNM1,1,151166144,151170296,long,gene,plus
TMOD4,1,151175981,151169986,long,gene,minus
VPS72,1,151190210,151176304,long,gene,minus
