gene,chr,start,end,arm
RABGAP1L,1,174159413,174995307,long
GPR52,1,174447963,174449544,long
CACYBP,1,174999434,175012026,long
TNN,1,175067832,175148074,long
PAPPA2,1,176463158,176845600,long
BRINP2,1,177170889,177282421,long
RASAL2,1,178093728,178478878,long
TEX35,1,178513108,178523509,long
RALGPS2,1,178725232,178921841,long
FAM20B,1,179025803,179076566,long
TOR3A,1,179082069,179095995,long
SOAT1,1,179293718,179358679,long
AXDND1,1,179365703,179554734,long
TDRD5,1,179591612,179691271,long
FAM163A,1,179727762,179816197,long
TOR1AIP1,1,179882284,179920075,long
CEP350,1,179954772,180114874,long
QSOX1,1,180154868,180204029,long
LHX4,1,180228371,180278983,long
XPR1,1,180632021,180890278,long
KIAA1614,1,180912896,180951613,long
MR1,1,181033386,181061937,long
IER5,1,181088699,181092899,long
CACNA1E,1,181317711,181808083,long
RGSL1,1,182447875,182560596,long
NPL,1,182789772,182830383,long
DHX9,1,182839346,182887981,long
LAMC1,1,183023419,183145591,long
LAMC2,1,183186263,183245126,long
SMG7,1,183471992,183554192,long
RGL1,1,183636093,183928531,long
TSEN15,1,184051729,184097484,long
C1orf21,1,184387028,184629018,long
RNF2,1,185045429,185102602,long
SWT1,1,185157059,185291780,long
HMCN1,1,185734390,186190948,qq
PRG4,1,186296272,186314566,long
ODR4,1,186375761,186421374,long
PLA2G4A,1,186828948,186988980,long
RGS18,1,192158461,192187171,long
RGS21,1,192316991,192367284,long
RGS1,1,192575772,192580023,long
RGS13,1,192636146,192660310,long
RGS2,1,192809038,192812274,long
RO60,1,193059453,193091776,long
CDC73,1,193122030,193254814,long
CFH,1,196652032,196747503,long
CFHR3,1,196774815,196795406,long
CFHR1,1,196819730,196832188,long
CFHR4,1,196888050,196918910,long
CFHR2,1,196943737,196959621,long
CFHR5,1,196975021,197009724,long
CRB1,1,197201503,197478454,long
C1orf53,1,197902629,197907361,long
LHX9,1,197912463,197935477,long
NEK7,1,198156997,198322419,long
PTPRC,1,198639024,198757475,qq
NR5A2,1,200027709,200177414,long
CAMSAP2,1,200738892,200860706,long
GPR25,1,200872980,200874177,long
INAVA,1,200891073,200915741,long
IGFN1,1,201190779,201228951,long
PKP1,1,201283505,201332988,long
NAV1,1,201539126,201826968,long
IPO9,1,201829156,201884290,long
SHISA4,1,201888676,201892586,long
TIMM17A,1,201955502,201970663,long
RNPEP,1,201982647,202006142,long
ELF3,1,202010582,202017182,long
GPR37L1,1,202118668,202133591,long
LGR6,1,202193798,202319760,long
PPP1R12B,1,202348698,202592701,long
TMEM183A,1,203007373,203024847,long
PPFIA4,1,203026490,203078735,long
ADORA1,1,203127704,203167404,long
BTG2,1,203305518,203309601,long
PRELP,1,203475805,203491351,long
OPTC,1,203494152,203508948,long
ATP2B4,1,203626831,203744080,long
LAX1,1,203765131,203778174,long
ZC3H11A,1,203795622,203854125,long
ZBED6,1,203797522,203801073,long
SNRPE,1,203861598,203871151,long
SOX13,1,204073095,204127742,long
MDM4,1,204516376,204558119,long
NFASC,1,204828651,205022821,long
CNTN2,1,205042936,205078288,long
TMCC2,1,205227945,205273342,long
CDK18,1,205504592,205532792,long
MFSD4A,1,205569013,205602917,long
RHEX,1,206053172,206102448,long
SRGAP2,1,206203540,206464435,long
IKBKE,1,206470242,206496889,long
RASSF5,1,206507530,206589447,long
DYRK3,1,206635535,206655157,long
MAPKAPK2,1,206684904,206734282,long
IL19,1,206770772,206842980,long
IL20,1,206863564,206869222,long
IL24,1,206897403,206904138,long
PFKFB2,1,207053062,207081026,long
C4BPB,1,207088794,207099992,long
C4BPA,1,207104231,207144971,long
CD55,1,207321673,207360965,long
CR2,1,207454327,207489891,long
CR1,1,207496156,207641764,long
CR1L,1,207645132,207723702,long
CD46,1,207752037,207795515,long
CAMK1G,1,209583713,209613938,long
G0S2,1,209675411,209676389,long
HSD11B1,1,209686178,209734928,long
TRAF3IP3,1,209756052,209782316,long
UTP25,1,209827971,209857564,long
SYT14,1,209938164,210171388,long
SERTAD4,1,210232795,210246862,long
HHAT,1,210327872,210676297,long
RCOR3,1,211259365,211316384,qq
TRAF5,1,211326593,211374945,long
DTL,1,212035747,212105012,long
PPP2R5A,1,212285409,212361852,long
NENF,1,212432919,212446378,long
ATF3,1,212565406,212620776,long
FAM71A,1,212624473,212626774,long
TATDN3,1,212791832,212816829,long
FLVCR1,1,212858274,212899362,long
VASH2,1,212950540,212991584,long
RPS6KC1,1,213051240,213378752,long
PROX1,1,213983238,214041509,long
SMYD2,1,214281158,214337135,long
CENPF,1,214603194,214664570,long
KCNK2,1,215002919,215237092,long
KCTD3,1,215567303,215621806,long
SPATA17,1,217631332,217871695,long
RRP15,1,218285292,218337982,long
TGFB2,1,218345335,218444618,long
LYPLAL1,1,219173849,219445120,long
IARS2,1,220094131,220148040,long
MARK1,1,220528135,220664460,long
C1orf115,1,220690362,220699152,long
MTARC2,1,220747416,220784814,long
MTARC1,1,220786696,220819658,long
HLX,1,220879442,220885058,long
MIA3,1,222618096,222668006,long
BROX,1,222712563,222735195,long
FAM177B,1,222737201,222772192,long
DISP1,1,222814513,223005994,long
CCDC185,1,223393414,223395464,long
CAPN2,1,223701596,223776017,long
FBXO28,1,224114110,224162046,long
DEGS1,1,224183239,224193440,long
CNIH4,1,224356878,224379451,long
CNIH3,1,224434639,224740553,long
DNAH14,1,224928421,225399291,long
SRP9,1,225777825,225790463,long
EPHX1,1,225810123,225845562,long
H3-3A,1,226061830,226072018,long
MIXL1,1,226223663,226227059,long
STUM,1,226548745,226609229,long
PSEN2,1,226870593,226903828,long
COQ8A,1,226939338,226987543,long
ZNF678,1,227563555,227679668,long
SNAP47,1,227728167,227781227,long
PRSS38,1,227815684,227846469,long
WNT3A,1,228006997,228067112,long
ARF1,1,228082707,228099211,long
GUK1,1,228140083,228148954,long
GJC2,1,228149929,228159825,long
IBA57,1,228165803,228182256,long
OBSCN,1,228208043,228378875,long
H2BU1,1,228458102,228458557,long
RNF187,1,228487381,228496187,long
RHOU,1,228644646,228746668,long
RAB4A,1,229271110,229305893,long
URB2,1,229626246,229660199,long
GALNT2,1,230057788,230282121,long
COG2,1,230642480,230693981,long
CAPN9,1,230747288,230803355,long
ARV1,1,230979081,231000732,long
TRIM67,1,231162057,231221564,long
GNPAT,1,231241209,231277972,long
SPRTN,1,231337979,231355022,long
TSNAX,1,231528668,231566523,long
DISC1,1,231626789,232041271,long
MAP10,1,232805415,232809928,long
NTPCR,1,232950610,232983881,long
MAP3K21,1,233327723,233385147,long
KCNK1,1,233614105,233672513,long
SLC35F3,1,233904675,234324510,long
COA6,1,234373455,234385079,long
GGPS1,1,235327215,235344531,long
TBCE,1,235367426,235452442,long
GPR137B,1,236142528,236213534,long
EDARADD,1,236394285,236484929,qq
LGALS8,1,236518213,236552980,long
ACTN2,1,236686498,236764630,long
MTR,1,236794303,236903980,long
RYR2,1,237042183,237833987,long
CHRM3,1,239386564,239915449,long
FMN2,1,240091882,240475186,long
KMO,1,241531882,241595641,long
WDR64,1,241652277,241802776,long
EXO1,1,241847966,241889938,long
BECN2,1,241957766,241959061,long
SDCCAG8,1,243255417,243503682,qq
ZBTB18,1,244048652,244057475,long
C1orf100,1,244352061,244389895,long
CATSPERE,1,244452012,244640503,long
DESI2,1,244652759,244709032,long
COX20,1,244835305,244845062,long
EFCAB2,1,244969681,245125227,long
KIF26B,1,245154984,245709431,long
CNST,1,246566337,246668594,long
SCCPDH,1,246724408,246768136,long
NLRP3,1,247416162,247448822,long
GCSAML,1,247507057,247577689,long
OR2G2,1,247588359,247589312,long
OR2G3,1,247605585,247606514,long
OR14K1,1,247738614,247739558,long
TRIM58,1,247857186,247880137,long
OR2W3,1,247895586,247896530,long
OR2T8,1,247920251,247923151,long
OR2AJ1,1,247924888,247935338,long
OR2L13,1,247937176,248101162,long
OR2L8,1,247948857,247949795,long
OR2AK2,1,247965331,247966338,long
OR2L5,1,248013659,248024275,long
OR2L2,1,248030069,248042304,long
OR2L3,1,248046835,248063406,long
OR2M5,1,248145147,248146085,long
OR2M2,1,248174820,248181066,long
OR2M3,1,248197264,248212924,long
OR2M4,1,248231416,248244678,long
OR14C36,1,248348774,248349712,long
OR2T4,1,248361664,248362626,long
OR2T6,1,248375745,248391810,long
OR2T1,1,248403047,248408019,long
OR2T7,1,248436358,248444315,long
OR2T2,1,248445636,248455724,long
OR2T3,1,248473350,248474306,long
OR2T5,1,248488588,248491112,long
OR2G6,1,248508072,248527336,long
ZNF672,1,248838218,248849516,long
PGBD2,1,248873826,248919145,long
